Probability distribution of photons as a function of distance z (cm)
z,prob
0.72,0.0302
0.71,0.0297
0.7,0.0278
0.69,0.0259
0.68,0.0247
0.67,0.0244
0.66,0.024
0.65,0.0238
0.64,0.0235
0.63,0.0232
0.62,0.0229
0.61,0.0225
0.6,0.0221
0.59,0.0218
0.58,0.0215
0.57,0.0211
0.56,0.0208
0.55,0.0204
0.54,0.0201
0.53,0.0197
0.52,0.0193
0.51,0.019
0.5,0.0187
0.49,0.0183
0.48,0.0179
0.47,0.0176
0.46,0.0172
0.45,0.0169
0.44,0.0165
0.43,0.0161
0.42,0.0158
0.41,0.0155
0.4,0.0151
0.39,0.0147
0.38,0.0144
0.37,0.014
0.36,0.0136
0.35,0.0133
0.34,0.0129
0.33,0.0126
0.32,0.0123
0.31,0.0119
0.3,0.0115
0.29,0.0112
0.28,0.0108
0.27,0.0104
0.26,0.0101
0.25,0.0097
0.24,0.0094
0.23,0.009
0.22,0.0086
0.21,0.0083
0.2,0.0079
0.19,0.0075
0.18,0.0072
0.17,0.0068
0.16,0.0065
0.15,0.0061
0.14,0.0057
0.13,0.0054
0.12,0.005
0.11,0.0046
0.1,0.0042
0.09,0.0039
0.08,0.0035
0.07,0.0031
0.06,0.0027
0.05,0.0023
0.04,0.0019
0.03,0.0014
0.02,0.001
0.01,0.0005
0.0,0.0
