X,Y,Z
5.410000,-15.080000,-63.650000
6.000000,-16.370000,-63.640000
5.990000,-16.070000,-63.530000
5.710000,-15.360000,-63.410000
5.480000,-15.180000,-63.410000
5.530000,-15.300000,-63.770000
5.550000,-15.360000,-63.480000
5.510000,-15.060000,-63.630000
5.220000,-15.440000,-63.740000
5.270000,-15.190000,-63.700000
5.300000,-15.150000,-63.650000
5.530000,-15.060000,-63.610000
5.440000,-15.070000,-63.640000
5.950000,-15.790000,-63.770000
5.580000,-15.120000,-63.770000
6.110000,-16.460000,-63.770000
5.740000,-16.550000,-63.770000
5.780000,-15.290000,-63.770000
5.670000,-15.360000,-63.770000
5.340000,-15.120000,-63.630000
5.760000,-16.440000,-63.770000
5.200000,-15.430000,-63.720000
6.060000,-16.770000,-63.400000
5.400000,-15.590000,-63.770000
5.320000,-15.140000,-63.690000
5.390000,-15.270000,-63.410000
5.500000,-15.340000,-63.410000
5.190000,-15.320000,-63.640000
6.170000,-16.340000,-63.410000
5.620000,-15.270000,-63.770000
5.990000,-16.540000,-63.770000
5.830000,-16.650000,-63.410000
5.780000,-15.500000,-63.770000
5.290000,-15.160000,-63.600000
5.540000,-15.060000,-63.620000
5.570000,-15.130000,-63.770000
6.090000,-16.770000,-63.320000
5.850000,-16.720000,-63.410000
5.450000,-15.070000,-63.610000
5.660000,-15.110000,-63.630000
5.210000,-15.270000,-63.670000
5.240000,-15.310000,-63.750000
6.070000,-16.630000,-63.410000
5.980000,-16.740000,-63.290000
5.460000,-15.080000,-63.710000
5.360000,-15.080000,-63.590000
5.790000,-15.490000,-63.760000
5.420000,-15.120000,-63.750000
5.210000,-15.330000,-63.640000
5.400000,-15.090000,-63.660000
5.710000,-15.320000,-63.770000
5.310000,-15.140000,-63.650000
5.720000,-15.160000,-63.680000
5.310000,-15.170000,-63.700000
5.930000,-16.480000,-63.460000
5.930000,-16.480000,-63.740000
5.220000,-15.720000,-63.630000
5.500000,-15.080000,-63.710000
5.430000,-15.060000,-63.600000
5.850000,-16.760000,-63.780000
5.240000,-15.230000,-63.590000
5.350000,-15.110000,-63.670000
5.460000,-15.310000,-63.410000
5.250000,-15.190000,-63.620000
5.220000,-15.580000,-63.760000
5.950000,-15.860000,-63.410000
5.370000,-15.100000,-63.690000
5.460000,-15.400000,-63.770000
5.320000,-15.130000,-63.590000
5.180000,-15.380000,-63.590000
5.340000,-15.490000,-63.410000
5.480000,-15.060000,-63.650000
5.280000,-15.190000,-63.680000
5.750000,-16.590000,-63.410000
5.780000,-16.650000,-63.410000
5.340000,-15.120000,-63.660000
5.310000,-15.190000,-63.770000
5.190000,-15.600000,-63.660000
6.080000,-16.690000,-63.290000
5.300000,-16.280000,-63.770000
5.360000,-15.100000,-63.630000
5.310000,-15.120000,-63.600000
5.380000,-15.110000,-63.600000
5.710000,-15.430000,-63.410000
5.470000,-15.090000,-63.730000
5.270000,-15.240000,-63.650000
5.410000,-15.130000,-63.750000
5.320000,-15.120000,-63.600000
5.380000,-15.120000,-63.700000
5.350000,-15.100000,-63.680000
5.830000,-16.570000,-63.770000
5.810000,-16.580000,-63.770000
5.390000,-15.090000,-63.700000
6.010000,-16.340000,-63.620000
5.490000,-15.070000,-63.700000
6.070000,-16.700000,-63.340000
5.530000,-15.080000,-63.690000
5.320000,-15.400000,-63.410000
5.370000,-15.460000,-63.410000
5.630000,-15.070000,-63.630000
5.180000,-15.510000,-63.590000
5.970000,-16.720000,-63.270000
5.330000,-15.180000,-63.720000
5.400000,-15.080000,-63.630000
5.870000,-16.630000,-63.770000
5.430000,-15.080000,-63.650000
5.380000,-15.470000,-63.770000
5.480000,-15.060000,-63.600000
5.290000,-15.710000,-63.770000
5.940000,-16.470000,-63.660000
6.040000,-16.750000,-63.850000
5.410000,-15.110000,-63.730000
6.160000,-16.460000,-63.770000
5.360000,-15.100000,-63.670000
5.570000,-16.020000,-63.410000
5.380000,-15.280000,-63.410000
6.130000,-16.730000,-63.840000
5.530000,-15.360000,-63.520000
5.970000,-16.640000,-63.770000
5.420000,-15.400000,-63.770000
5.290000,-15.530000,-63.770000
5.940000,-16.470000,-63.460000
5.250000,-15.260000,-63.730000
5.890000,-15.750000,-63.770000
5.440000,-15.070000,-63.670000
6.030000,-16.470000,-63.770000
5.180000,-15.570000,-63.600000
5.540000,-15.340000,-63.410000
5.220000,-15.700000,-63.650000
5.190000,-15.480000,-63.680000
5.490000,-15.820000,-63.770000
5.670000,-15.130000,-63.670000
5.270000,-15.240000,-63.750000
5.200000,-15.400000,-63.670000
5.210000,-15.490000,-63.750000
5.870000,-15.560000,-63.770000
5.320000,-15.130000,-63.650000
6.120000,-16.460000,-63.410000
5.480000,-15.200000,-63.410000
5.510000,-15.290000,-63.410000
5.960000,-16.450000,-63.570000
5.330000,-15.710000,-63.410000
5.430000,-15.090000,-63.680000
5.470000,-15.290000,-63.410000
6.000000,-16.340000,-63.480000
5.710000,-15.460000,-63.580000
5.450000,-15.370000,-63.410000
5.480000,-15.140000,-63.770000
5.210000,-15.280000,-63.590000
5.300000,-15.160000,-63.670000
6.010000,-16.710000,-63.900000
5.480000,-15.060000,-63.620000
5.320000,-15.130000,-63.620000
5.200000,-15.670000,-63.600000
6.000000,-16.550000,-63.770000
5.710000,-16.290000,-63.410000
5.620000,-15.340000,-63.770000
5.240000,-15.230000,-63.590000
5.240000,-15.260000,-63.690000
5.240000,-15.760000,-63.760000
5.390000,-15.110000,-63.740000
5.870000,-15.670000,-63.410000
5.330000,-15.140000,-63.700000
5.540000,-15.340000,-63.410000
5.410000,-15.590000,-63.410000
5.780000,-15.340000,-63.410000
5.970000,-16.760000,-63.350000
5.460000,-15.080000,-63.700000
5.590000,-15.070000,-63.650000
5.740000,-15.120000,-63.650000
5.370000,-15.150000,-63.760000
5.330000,-15.110000,-63.590000
6.170000,-16.430000,-63.770000
5.530000,-15.920000,-63.770000
5.440000,-15.090000,-63.730000
5.490000,-15.230000,-63.770000
