X,Y,Z
-15.550000,5.750000,-14.220000
5.320000,-15.330000,-63.410000
5.550000,-15.360000,-63.480000
5.820000,-15.600000,-63.490000
-14.630000,5.580000,-14.140000
5.620000,-15.340000,-63.770000
5.250000,-15.260000,-63.730000
5.340000,-15.120000,-63.660000
5.460000,4.830000,35.290000
5.710000,-15.460000,-63.580000
6.000000,-16.510000,-63.410000
-14.470000,5.620000,-14.030000
5.240000,-15.680000,-63.410000
5.610000,-15.390000,-63.510000
5.350000,4.940000,35.290000
5.520000,4.980000,35.390000
5.690000,5.450000,35.650000
5.240000,4.870000,35.420000
5.210000,-15.330000,-63.640000
5.550000,-15.060000,-63.640000
5.620000,4.750000,35.650000
6.100000,5.100000,35.290000
-14.500000,5.610000,-14.140000
5.250000,5.000000,35.390000
-14.570000,5.630000,-14.220000
5.280000,-15.230000,-63.700000
-14.460000,5.660000,-13.960000
6.730000,5.700000,35.290000
5.750000,-16.590000,-63.410000
5.460000,-15.200000,-63.410000
-14.740000,5.590000,-14.220000
5.450000,-15.920000,-63.410000
5.960000,-16.450000,-63.570000
-14.510000,6.020000,-14.090000
6.460000,5.700000,35.650000
5.210000,-15.490000,-63.750000
-15.780000,6.440000,-14.250000
5.530000,-15.360000,-63.770000
6.000000,-16.340000,-63.480000
5.890000,-16.680000,-63.770000
6.720000,5.660000,35.650000
5.420000,4.650000,35.430000
-14.570000,5.980000,-14.160000
-14.790000,5.990000,-14.400000
5.320000,-15.400000,-63.410000
-14.450000,5.850000,-14.270000
5.520000,5.050000,35.390000
5.380000,-15.280000,-63.410000
-15.220000,5.770000,-14.200000
5.210000,-15.570000,-63.750000
5.290000,-15.710000,-63.770000
5.980000,-16.420000,-63.690000
-14.610000,6.100000,-14.030000
-14.470000,5.670000,-14.180000
5.340000,-15.360000,-63.410000
5.980000,4.810000,35.400000
-14.980000,6.240000,-13.960000
6.440000,5.830000,35.290000
5.370000,-15.150000,-63.760000
6.170000,-16.340000,-63.410000
-14.410000,5.970000,-14.090000
-15.890000,6.700000,-14.230000
5.290000,-15.170000,-63.620000
